x,y,team,type,popularity,score
4140,8000,200,1,1,746
9320,5654,200,1,1,686
12008,10250,100,1,1,654
7064,3124,200,1,1,574
11870,3614,200,1,1,555
9438,5632,100,1,1,539
11600,7074,200,1,1,503
4936.904,8285.651,100,1,1,468
8090,6262,100,1,1,449
11432,4828,200,1,1,435
11923.883,6506.8516,100,1,1,423
10154,4766,200,0,1,416
3422,7750,100,1,1,406
9371.785,4657.649,100,1,1,404
6522,4634,100,1,1,394
3916,7976,200,2,1,370
11423.669,7504.1406,200,1,1,362
6548,8310,100,1,1,352
11942,5916,200,1,1,352
9194,3854,200,1,1,346
11794,4054,100,1,1,342
11790,4048,100,1,1,340
9384,11396,200,1,1,334
10700,4590,100,1,1,332
12586,1344,200,1,1,319
4730,7176,100,0,1,317
8412,6482,100,1,1,314
12338,1356,100,1,1,313
10262,8986,100,2,1,308
8450,6422,200,1,1,308
9874,6456,100,2,1,301
9478,5578,100,0,1,298
11960.31,4709.6885,100,1,1,297
9746,6414,100,0,1,283
13460,2628,200,1,1,283
6104,7046,200,1,1,281
11888,3900,200,0,1,280
9438,5632,200,0,1,279
11940.711,5931.716,200,0,1,275
12296,1346,200,1,1,271
13534,2636,100,1,1,265
11958,3682,200,0,1,263
11072,4702,100,1,1,262
7830,3286,200,2,1,260
12896,1870,100,1,1,258
3140.565,5811.46,200,1,1,257
7330.589,12711.268,100,1,1,257
10528,4696,100,1,1,255
8534,4806,100,1,1,249
6544,4730,100,0,1,245
10619.881,3007.023,100,0,1,243
9354,5632,200,1,1,236
13442,2470,100,1,1,234
5984,12768,200,1,1,233
9370,5642,100,0,1,232
9476,5606,200,1,1,232
5985.055,12769.724,200,1,1,222
11640,5706,200,1,1,219
5988,12762,200,1,1,219
2858,7340,200,1,1,216
11844,3926,200,1,1,214
8216,6242,200,0,1,213
13562,2830,200,1,1,210
9810,11044,200,1,1,205
3790,12974,200,1,1,205
10562,5122,100,0,1,205
5220,9186,200,0,1,203
11550,7072,200,0,1,203
7156,6562,200,1,1,199
5017.5938,2508.4155,200,1,1,196
12532,1466,200,1,1,196
13562,2658,200,1,1,194
5746,12714,100,2,1,194
6510,4684,100,1,1,193
12964,1918,200,1,1,191
11764,4034,100,1,1,190
13460,2710,100,1,1,189
10668,3444,200,1,1,187
10410,3030,100,0,1,187
11866,3770,100,1,1,187
11530,7168,100,1,1,186
13462,2780,100,1,1,186
12114,4676,200,1,1,185
6175.918,8097.7173,100,0,1,181
10480.486,4353.7,100,0,1,176
11948,5780,100,2,1,175
7908,3480,200,1,1,174
9824,6440,200,1,1,173
11085.316,2165.1875,200,1,1,173
5925.7773,7665.537,200,1,1,172
6898,3042,200,0,1,171
9388,5626,200,1,1,170
6312,10102,100,1,1,167
11155.695,5911.732,100,1,1,166
9890,4752,200,0,1,164
6526,4678,200,0,1,163
7936,3564,200,0,1,162
12898,1896,100,1,1,162
3040,10794,100,0,1,161
9980,6552,100,1,1,160
11326,7612,200,1,1,158
7566,6654,100,1,1,158
11784,3972,200,0,1,157
6472,8280,200,1,1,156
10110,4608,200,0,1,155
11720,4078,200,0,1,152
10336,3110,200,1,1,148
6552,8360,200,1,1,147
8308,6302,200,1,1,146
11904,3774,200,0,1,143
12790.232,6411.243,200,1,1,143
8734,6682,100,1,1,142
7824.7236,9301.434,100,1,1,142
8362,6358,200,1,1,141
11744,5882,100,1,1,141
7252,11972,100,1,1,141
12196,1380,100,1,1,140
8056,3494,100,1,1,139
9322,11470,100,0,1,139
11043.873,2305.3354,200,1,1,138
12790.363,6304.881,100,1,1,137
8290,5216,100,1,1,137
5538,3392,200,1,1,137
