x,y,team,type,popularity,score
7158,5476,200,3,19,173
9992,4026,200,3,31,137
8286,5820,200,3,14,135
3386,7804,200,3,80,125
5072.6074,8448.682,200,3,113,122
10234.055,4801.634,200,3,44,116
6494,4720,200,3,256,115
7874,3532,200,3,77,115
9370,5670,200,3,327,110
7104,3096,200,3,67,108
4806,10160,200,3,77,106
8544,4764,200,3,264,105
5633.9453,3485.134,200,3,89,102
10572.578,5807.3223,200,3,46,99
9722,6394,200,3,201,98
11878,5930,200,3,91,98
4858,7164,200,3,129,97
11462,7176,200,3,110,97
10560,3096,200,3,51,91
7022,11352,200,3,35,90
6754,8502,200,3,167,88
9374,2176,200,3,31,84
11774,3992,200,3,47,81
4454,11806,200,3,43,78
8294,10224,200,3,363,77
8772.797,6715.338,200,3,175,77
9936,8002,200,3,58,76
2968.7817,8958.075,200,3,32,67
3120,10916,200,3,24,66
7926,11840,200,3,41,63
10736.633,9224.754,200,3,47,58
8021.5605,9357.594,200,3,18,57
12660,5172,200,3,14,49
11592,10090,200,3,12,42
