x,y,team,type,popularity,score
10466,5006,200,3,110,120
10378.883,4194.048,200,3,78,119
2888.492,8409.822,200,3,42,114
5623.5835,9516.237,200,3,28,112
12104,9354,200,3,24,108
8438,3500,200,3,22,104
10192,5562,200,3,24,104
9470,4830,200,3,39,102
4720,10364,200,3,96,102
5074.852,9998.118,200,3,192,98
4146.028,7912.957,200,3,68,96
8710,5834,200,3,24,95
4108,9598,200,3,12,94
6862,9970,200,3,18,93
8208,1700,200,3,20,92
4802,4940,200,3,22,90
3292,3892,200,3,28,90
2930,7334,200,3,112,89
7886.3584,4331.744,200,3,268,87
4666.3867,5561.0435,200,3,22,87
5412,10360,200,3,259,84
8831.85,5060.82,200,3,88,84
9871.284,4922.3887,200,3,76,84
3138,6590,200,3,30,84
10914,9944,200,3,16,83
11490,3368,200,3,12,82
5223.333,10914.076,200,3,121,82
6423.74,5303.424,200,3,80,82
7810,3550,200,3,279,79
6068,9176,200,3,30,79
4626,9912,200,3,30,79
3854,10026,200,3,12,78
5462,3382,200,3,197,78
9577.386,2813.9717,200,3,17,78
7456,4898,200,3,207,77
5074,8464,200,3,920,76
5425.537,2507.9443,200,3,20,76
5728,5812,200,3,29,75
3473.9048,7416.718,200,3,58,75
13256.045,1614.6704,200,3,24,75
6227.242,4207.664,200,3,30,75
7756,5206,200,3,29,75
2994,9026,200,3,3073,74
4234,4416,200,3,14,74
5340,9140,200,3,1003,73
9476,5652,200,3,2153,73
6546,4560,200,3,4398,73
9880,3932,200,3,228,72
13153.469,6403.7275,200,3,35,72
11474.195,7493.033,200,3,12,71
10478.406,5865.4707,200,3,64,71
10180,4638,200,3,870,70
2932,6084,200,3,78,70
5316.6826,6219.37,200,3,18,70
2286.224,7782.1133,200,3,20,70
5422.5557,7914.808,200,3,687,69
7098,3074,200,3,951,69
11510,7092,200,3,1118,69
2668,5670,200,3,18,69
10586,3574,200,3,30,69
9124.305,6508.333,200,3,35,69
3346,7834,200,3,958,68
8486,4850,200,3,2528,67
7183.369,5510.3027,200,3,170,66
7673.8896,5607.753,200,3,15,66
6238,6452,200,3,76,66
9773.902,3461.5679,200,3,80,66
2682,4610,200,3,21,66
7880,4806,200,3,38,66
11076,8324,200,3,24,65
10774,4510,200,3,190,64
3760,8764,200,3,54,64
8724.754,1712.6704,200,3,165,64
8048,5912,200,3,736,63
8581.541,2924.9624,200,3,68,63
2248,4704,200,3,24,63
6680.0195,3179.9902,200,3,729,62
6306,10106,200,3,420,61
9622.625,4267.3906,200,3,56,61
3877.7368,6711.455,200,3,90,61
9068,11312,200,3,66,61
7329.4443,9155.99,200,3,13,61
8310,5586,200,3,129,61
6801.3984,5632.0273,200,3,868,61
11440,5020,200,3,136,60
9900,6506,200,3,493,60
11947.734,5926.16,200,3,474,60
4526,2810,200,3,117,60
4764,7046,200,3,494,59
8294,10252,200,3,681,58
8380,6478,200,3,1264,58
9097.289,4557.8066,200,3,192,58
9184.2705,3902.9211,200,3,144,58
