x,y,team,type,popularity,score
3174,8224,200,2,49,121
8272,6366,200,2,98,89
10964,4336,200,2,35,81
5244,10732,200,2,30,80
4230,4528,200,2,15,75
9316,2220,200,2,42,74
8496,4840,200,2,101,72
5148,9074,200,2,58,72
3012.0615,8893.584,200,2,60,66
5140,10248,200,2,55,66
4482,11892,200,2,40,65
8680,6708,200,2,66,62
11842,5838,200,2,64,62
4952,8408,200,2,51,62
3386,7786,200,2,216,60
4770,7146,200,2,164,60
7874,3562,200,2,117,60
8060,11786,200,2,14,59
9398,5726,200,2,142,58
6290,10118,200,2,104,58
11550,7100,200,2,65,57
9986,3910,200,2,24,55
3080,10930,200,2,140,54
6608,3110,200,2,60,53
3916,7976,200,2,70,52
2250,9714,200,2,24,52
9786,2560,200,2,16,51
10288,3174,200,2,70,50
6698,4818,200,2,37,50
9859.817,7955.9097,200,2,24,50
5682,12824,200,2,24,50
14102,6954,200,2,16,50
8306,10178,200,2,75,49
11856,3906,200,2,92,48
6814.374,8910.596,200,2,36,48
6844,11562,200,2,27,47
12424,1324,200,2,12,47
7067.8994,3159.9106,200,2,60,46
6484,8350,200,2,49,45
12468,5142,200,2,74,43
10049.827,4624.662,200,2,35,42
10032,6552,200,2,24,42
2908,11318,200,2,22,40
9312.576,11461.131,200,2,12,38
11898,5294,200,2,15,32
6840,5444,200,2,21,29
856,8038,200,2,16,20
