x,y,team,type,popularity,score
3304,7802,200,0,92,108
11930,5792,200,0,67,104
3100,9008,200,0,88,103
9426,5662,200,0,550,102
5246,9136,200,0,302,100
7054,3178,200,0,31,99
10134,4572,200,0,61,97
6580,4778,200,0,69,94
8538,4822,200,0,243,91
11610,7084,200,0,88,90
7966,3448,200,0,13,90
8584,6502,200,0,63,87
6534,8350,200,0,31,87
12314,1352,200,0,12,86
4770,7092,200,0,66,85
3090,10848,200,0,133,78
4490,11890,200,0,75,78
8282,10318,200,0,48,76
10318,3018,200,0,56,74
11888,3870,200,0,91,73
13494,2774,200,0,26,67
2350,9670,200,0,16,66
6494,10034,200,0,12,62
6952,11404,200,0,16,60
12656,4928,200,0,67,56
