x,y,team,type,popularity,score
9452,5650,200,0,3111,229
5248,9184,200,0,1596,154
9718,6336,200,0,1420,139
8616,6564,200,0,1677,138
8492,4846,200,0,824,104
8304,6286,200,0,804,103
7114,3132,200,0,570,102
6785.8047,8652.483,200,0,924,101
10284,5150,200,0,11,99
10394,2982,200,0,624,93
5430.874,10301.359,200,0,44,92
3186,8998,200,0,182,91
6598,4682,200,0,288,91
10184,4720,200,0,395,90
11900,4160,200,0,525,87
4842,10146,200,0,288,87
6232,10200,200,0,368,87
9611.977,4955.0693,200,0,28,87
3268,7744,200,0,175,84
11510,7144,200,0,219,83
4628,12010,200,0,552,80
4768,7210,200,0,143,77
4948,8456,200,0,98,77
11776,5958,200,0,253,76
4498,11514,200,0,25,76
5448,3418,200,0,150,74
12266,8806,200,0,15,74
3102,10838,200,0,282,73
8350,10176,200,0,199,70
2516,5306,200,0,12,70
9364.486,4606.4043,200,0,40,69
8044,3390,200,0,75,69
4180,11844,200,0,198,67
5428.056,10765.043,200,0,130,66
9433.943,7424.041,200,0,19,66
12682.836,5464.1113,200,0,162,65
10006,7872,200,0,145,64
9344,2120,200,0,142,62
9170.477,11417.234,200,0,30,62
10126,4182,200,0,76,60
2584,9696,200,0,21,60
6790,11502,200,0,42,59
11140,12154,200,0,16,58
9622.625,4267.3906,200,0,64,57
6520,8348,200,0,146,56
7952,11816,200,0,47,55
1700,12888,200,0,15,54
5502,12694,200,0,20,54
2609.129,8035.0166,200,0,16,54
12576,4928,200,0,145,48
13504,2714,200,0,196,45
12476,1394,200,0,50,42
4814,5364,200,0,15,42
5286,2308,200,0,16,41
4820.307,10923.108,200,0,12,40
13022,2124,200,0,41,37
5925.4,12808.567,200,0,26,33
6143.923,3910.2324,200,0,25,31
1116,12204,200,0,18,28
7680,8856,200,0,12,28
2425.1252,7665.463,200,0,16,27
2838,10334,200,0,25,13
