x,y,team,type,popularity,score
7776,3572,200,1,76,207
2822,7348,200,1,31,160
7170.5664,5458.3223,200,1,45,136
6544,4770,200,1,360,135
5042,8446,200,1,141,129
5481.449,10354.137,200,1,103,128
6904,3054,200,1,62,127
9396,5738,200,1,1119,124
5568.855,3491.1584,200,1,87,119
5320,9248,200,1,77,119
3060,9026,200,1,140,117
6998,11384,200,1,57,117
8128,6192,200,1,48,113
4924.917,7108.0796,200,1,117,112
4618.545,2908.1133,200,1,25,102
9078,11336,200,1,28,100
8588,4676,200,1,152,99
10492,3082,200,1,405,89
6278,10176,200,1,134,86
9228,2108,200,1,83,84
7802,11752,200,1,56,84
11983.332,5658.0576,200,1,31,84
8202,10164,200,1,144,83
9992,7818,200,1,140,78
4384,11780,200,1,89,77
5512,12668,200,1,24,77
8688.891,6762.5986,200,1,210,76
12795.107,6517.9937,200,1,43,75
11928,3746,200,1,241,73
2350,9684,200,1,29,65
2530,13466,200,1,34,63
6444,8170,200,1,44,62
13482,2652,200,1,240,61
8025.213,9298.658,200,1,53,61
12278,1404,200,1,156,60
12996,1924,200,1,172,59
2768.6604,10421.668,200,1,22,59
1816,13048,200,1,29,58
10623.207,9204.547,200,1,62,55
1180,12102,200,1,24,33
