x,y,team,type,popularity,score
7067.7207,3171.7617,200,1,12,189
11810,4042,200,1,12,182
8434,6476,200,1,19,165
3372,7738,200,1,23,154
5574.626,7866.6167,200,1,15,152
9436,5616,200,1,91,150
5248,9156,200,1,74,150
6600,4722,200,1,73,137
5020,8396,200,1,35,136
5476,3482,200,1,17,131
8488,4810,200,1,72,130
5480.1563,10510.371,200,1,31,129
11546,7168,200,1,25,128
8689.5625,6769.5977,200,1,35,127
9764,6392,200,1,52,125
3066,9124,200,1,15,119
5242.7285,10924.869,200,1,13,115
6502,8366,200,1,16,113
5174.785,7964.717,200,1,26,112
4782,7144,200,1,49,111
7870,3508,200,1,14,111
6270,10142,200,1,26,107
6750,8540,200,1,47,103
10634.021,3009.3325,200,1,15,102
5983.287,7620.916,200,1,11,102
6658,3130,200,1,12,99
8232,10182,200,1,57,90
10010,7990,200,1,15,89
11800,5982,200,1,20,79
10306,3030,200,1,19,76
5871.707,12857.223,200,1,15,72
