x,y,team,type,popularity,score
11728,5880,100,3,71,123
11576,7068,100,3,35,110
7824.113,9290.322,100,3,36,95
8290,10352,100,3,15,83
9486,5600,100,3,168,82
11710.092,5009.7197,100,3,19,80
3330,7824,100,3,19,72
1564,12874,100,3,14,72
5338,9142,100,3,150,71
12426,1422,100,3,86,67
3074,10934,100,3,107,66
10598,2998,100,3,85,65
12890,3378,100,3,11,65
5032.0283,8390.645,100,3,15,63
13388,2560,100,3,276,62
7022,11374,100,3,21,61
11888,3744,100,3,249,60
8082,6152,100,3,176,60
12686,4980,100,3,11,57
9886,6522,100,3,36,56
10274.131,2207.3792,100,3,11,55
11405.838,3034.17,100,3,12,53
4496,11878,100,3,34,52
6498,8276,100,3,111,50
2112.4478,9973.779,100,3,17,44
7934,7838,100,3,26,41
1184,12148,100,3,36,28
6596,4758,100,3,11,21
