x,y,team,type,popularity,score
6952,4724,100,3,12,147
9684,9302,100,3,22,143
12732.615,7514.075,100,3,16,118
4878,10068,100,3,253,106
4463.118,10406.272,100,3,288,105
5088,10934,100,3,32,103
11254,7204,100,3,66,102
4326,9852,100,3,60,101
11410,6484,100,3,40,100
10456,5376,100,3,27,98
5287.2725,10090.199,100,3,279,98
11986,2702,100,3,12,97
5417.6367,11200.34,100,3,28,93
11921.772,6502.599,100,3,165,89
8610,9598,100,3,120,89
8023.157,5912.6973,100,3,19,89
7964,4776,100,3,24,89
10108.346,12562.857,100,3,28,85
11898,7290,100,3,69,84
10418,4308,100,3,67,83
7229.578,10652.449,100,3,124,82
10767.727,8299.898,100,3,52,81
5810.593,10105.58,100,3,104,80
6656,3102,100,3,55,80
11552,7560,100,3,106,79
12430,6088,100,3,15,79
11260,4420,100,3,26,78
5218,9146,100,3,2312,77
7722.9727,5457.758,100,3,25,77
7773.0137,10557.898,100,3,18,77
12212,8030,100,3,16,77
11734,5898,100,3,749,76
10725.119,6334.553,100,3,26,75
7124,3122,100,3,513,74
9716,6926,100,3,213,74
7766,11776,100,3,460,73
4996,8416,100,3,472,73
10292,10146,100,3,72,73
6828,11494,100,3,113,73
8230,10222,100,3,1132,72
9672.359,4922.593,100,3,77,72
6323.9434,12756.785,100,3,11,72
9394,11452,100,3,145,71
11416,10924,100,3,27,71
9406,5636,100,3,1960,70
8102,8122,100,3,50,70
4312,9436,100,3,58,70
9684,6294,100,3,422,70
7322,9790,100,3,140,69
10855.135,6835.1523,100,3,59,69
10826,10834,100,3,11,69
2442,8804,100,3,36,69
11614.066,5507.2275,100,3,35,68
11232,5628,100,3,19,68
11736,8440,100,3,45,68
4428.2104,8107.049,100,3,12,68
9448,4466,100,3,267,66
8180,11788,100,3,158,66
13518,6242,100,3,16,66
8486,4872,100,3,2580,65
2722,7198,100,3,15,65
7664.6523,9298.532,100,3,356,64
3326,7818,100,3,776,64
6598,9346,100,3,69,64
6819.6226,10640.31,100,3,276,64
10076,4706,100,3,230,64
13072.838,4607.4814,100,3,24,64
7594,4140,100,3,18,63
9958,6602,100,3,1010,63
2904.7554,9017.032,100,3,222,63
