x,y,team,type,popularity,score
4546,9946,100,2,12,149
7774.791,9302.742,100,2,18,123
11724,5932,100,2,46,87
6682,8752,100,2,36,85
5950,10640,100,2,24,76
9878,4844,100,2,22,74
11462,7080,100,2,83,70
8742,6598,100,2,12,70
2964,9078,100,2,22,68
9396,5728,100,2,86,66
9714,6264,100,2,40,64
4976,10768,100,2,39,63
4862.1597,10213.399,100,2,60,61
10520.465,3665.8906,100,2,16,60
7960,11856,100,2,24,60
9953.624,6707.0425,100,2,38,60
8024,3458,100,2,72,59
8232,10186,100,2,98,58
4536,11944,100,2,44,58
5172,8556,100,2,14,55
9088,2132,100,2,42,55
6252,10210,100,2,248,54
10442,3132,100,2,40,53
12412,5144,100,2,27,52
10076,7796,100,2,101,51
8306,6382,100,2,69,51
6968,3042,100,2,37,51
6560,8350,100,2,370,50
8375.898,4740.633,100,2,66,50
7040,10676,100,2,18,50
3078,10822,100,2,31,49
7038,11470,100,2,255,49
5196,9106,100,2,65,48
12942,1910,100,2,32,48
3328,7764,100,2,146,47
6612,4808,100,2,58,46
9317.865,11507.777,100,2,31,46
4812,6952,100,2,18,44
14046,7080,100,2,54,43
11824,3994,100,2,65,39
6496,12206,100,2,12,38
6518,9658,100,2,12,35
12020,4850,100,2,49,31
9664,4332,100,2,21,29
10023.98,9257.561,100,2,35,29
7076,9046,100,2,21,24
