x,y,team,type,popularity,score
11848,5798,100,0,57,219
11526,7130,100,0,119,177
7944,11822,100,0,25,176
8258,10196,100,0,147,144
9352,5706,100,0,348,139
5324,9110,100,0,167,131
9851.484,7945.375,100,0,13,130
9906,6584,100,0,61,129
3012.2888,8912.481,100,0,39,128
3310,7740,100,0,87,118
7066,3076,100,0,36,118
11800,4032,100,0,678,115
8692,4558,100,0,15,115
6428,10016,100,0,18,110
4280,11852,100,0,35,107
8058,6182,100,0,178,104
4990,8366,100,0,35,101
9106,2156,100,0,22,101
9308,11388,100,0,16,99
3094,10852,100,0,500,95
6175.918,8097.7173,100,0,35,94
10306,2932,100,0,742,92
7850,3526,100,0,25,92
6568,4690,100,0,230,89
6830,11494,100,0,13,81
5626.4805,3497.5833,100,0,26,79
4868,7096,100,0,20,78
2234,9884,100,0,14,78
9804,3880,100,0,38,75
12610,4988,100,0,14,72
12402,1370,100,0,19,59
