x,y,team,type,popularity,score
8268,10270,100,0,26,148
11546,7048,100,0,42,137
11756,5892,100,0,137,131
9370,5690,100,0,379,100
7736,11786,100,0,15,99
9932,6602,100,0,19,97
5218,9180,100,0,229,89
3108,8984,100,0,18,85
11852,3702,100,0,84,82
10190,4544,100,0,26,81
6306,10134,100,0,80,79
8500,4828,100,0,304,77
12356,1304,100,0,12,77
3086,10854,100,0,255,74
10038,7780,100,0,53,74
8200,6294,100,0,220,73
10272,2944,100,0,896,71
12982,1956,100,0,25,70
4460,11868,100,0,19,66
6608,4798,100,0,11,66
9500.334,4090.1382,100,0,17,64
6279.582,8057.7314,100,0,57,52
9076,2052,100,0,21,46
3438,7686,100,0,14,45
