x,y,team,type,popularity,score
10640,4638,100,1,33,142
4748,10174,100,1,13,141
8870,8786,100,1,14,126
11816,5876,100,1,125,120
8288,10212,100,1,378,116
9370,5676,100,1,373,114
11003.679,6509.6064,100,1,15,112
10124.36,3956.96,100,1,33,110
10004,6606,100,1,166,103
7818,11838,100,1,48,97
7714,9406,100,1,19,97
3494,7756,100,1,33,93
9073.49,11409.074,100,1,22,93
8582,4716,100,1,102,91
8134,6174,100,1,455,89
9169.527,7051.035,100,1,175,88
8074.036,3505.6436,100,1,50,85
5274,9196,100,1,193,84
6284,10154,100,1,210,83
5754,12736,100,1,30,83
6480,9094,100,1,15,83
10965.6875,9732.93,100,1,12,82
4532,11768,100,1,32,80
11750.391,4937.661,100,1,22,79
6622,4726,100,1,204,77
5606.5303,10989.852,100,1,12,77
3060,10828,100,1,56,75
10070,7688,100,1,52,74
7064.73,3162.9248,100,1,48,73
4790,7118,100,1,100,70
10210,2870,100,1,86,70
11752,4034,100,1,132,69
14086,6976,100,1,14,63
3016,8978,100,1,50,62
6546,8262,100,1,61,61
12584,4986,100,1,28,57
2212,9472,100,1,35,53
5516,3526,100,1,34,45
