x,y,team,type,popularity,score
4718,10546,100,1,16,203
4730,10010,100,1,45,118
10392,4250,100,1,114,112
10108,4800,100,1,33,107
10674,4582,100,1,40,104
5010,10894,100,1,14,102
5172.867,9995.246,100,1,385,102
11478.352,6363.703,100,1,12,100
8654.538,11061.389,100,1,20,98
10488.162,9698.594,100,1,28,86
4960,8374,100,1,228,85
10470,5098,100,1,57,83
11722,6740,100,1,150,81
12170,8108,100,1,17,80
13454,3324,100,1,40,80
10673.377,9214.052,100,1,22,79
8523.91,9606.867,100,1,98,79
5266,9086,100,1,625,78
7042,11362,100,1,536,75
12078,7404,100,1,428,75
9388,9384,100,1,23,75
11488,7124,100,1,331,75
8312,10260,100,1,760,74
7818,4800,100,1,21,74
9200,11336,100,1,66,74
12371.9375,6107.508,100,1,19,74
10923.564,7506.032,100,1,22,74
2468,8946,100,1,12,74
11764,5922,100,1,428,73
5706.3267,10808.446,100,1,380,73
9552,6936,100,1,915,73
11070,5448,100,1,18,73
9355.745,4607.0903,100,1,164,72
4578,9462,100,1,26,72
6323.9434,12756.785,100,1,11,72
9672,6352,100,1,358,72
8180,8056,100,1,112,71
10302,10244,100,1,69,71
4309.407,8310.066,100,1,16,71
8342,3576,100,1,44,71
3334,7730,100,1,191,70
9084,9022,100,1,208,70
7766,11836,100,1,306,70
10723.105,6900.367,100,1,186,70
10106,12610,100,1,14,70
7814,5354,100,1,32,68
8166.8677,11708.172,100,1,103,68
9440,5686,100,1,4016,67
6638,9306,100,1,512,67
10438,8052,100,1,18,67
8786,8660,100,1,141,66
3640,9580,100,1,30,66
6936,9808,100,1,57,65
11942.197,4164.462,100,1,124,65
6814.0313,8910.049,100,1,525,64
6382,10034,100,1,652,64
6821.258,10654.527,100,1,69,64
5810.853,9997.538,100,1,96,64
10234,12134,100,1,50,64
4363.7715,9056.295,100,1,30,64
8498,4952,100,1,346,64
10938,4916,100,1,44,63
9994,6600,100,1,328,63
10907.663,4192.345,100,1,58,63
7508,9896,100,1,50,63
7472.842,5753.7236,100,1,12,63
8696,3778,100,1,20,63
10054,7816,100,1,992,62
6920,3040,100,1,210,62
3258.354,6189.371,100,1,23,62
10896,11222,100,1,57,62
7657.5254,9410.477,100,1,111,61
7934,3492,100,1,664,61
6228,9376,100,1,26,61
6780,12942,100,1,12,61
5570,3500,100,1,107,60
11367.086,9597.641,100,1,108,60
6646,11452,100,1,68,60
4082,9374,100,1,60,60
11248.254,8243.29,100,1,75,59
6668.966,3787.9966,100,1,15,59
12978,2738,100,1,24,59
4792,7090,100,1,176,58
9522.693,4105.0767,100,1,143,58
8576.543,4558.0835,100,1,145,58
11175.718,5907.348,100,1,28,58
12074.188,9956.463,100,1,24,58
12410,7716,100,1,40,58
8734,6682,100,1,58,58
12473.428,10249.389,100,1,22,58
6632,4700,100,1,842,57
6174.9307,8094.752,100,1,369,57
2921.5686,9007.92,100,1,135,57
9262,2064,100,1,81,56
10082.103,3892.4,100,1,122,56
4512,11554,100,1,48,56
13932,6056,100,1,49,56
8138,6238,100,1,1155,55
12300,5210,100,1,122,55
9418.372,12456.734,100,1,11,54
3640,11170,100,1,16,54
11456.918,10496.509,100,1,44,54
10278,2900,100,1,373,53
11626,5140,100,1,159,53
9677.002,8749.283,100,1,27,53
6682,8402,100,1,336,53
6923.3374,2550.0408,100,1,18,53
8974.599,10607.508,100,1,48,53
9159.918,7048.621,100,1,556,52
7498.5,12574.779,100,1,26,52
12622,4904,100,1,218,52
9909.814,8403.494,100,1,16,52
10770.064,8456.811,100,1,14,52
8036,7648,100,1,64,52
7152,8620,100,1,73,51
11894,4802,100,1,121,51
2264,9598,100,1,82,51
4942,2982,100,1,66,51
11219.766,3199.7773,100,1,39,50
4316,11952,100,1,282,49
5812,10418,100,1,75,49
11906,3742,100,1,677,48
6560,12026,100,1,18,48
7469.455,8352.703,100,1,24,48
12584,1338,100,1,46,47
8523.535,2086.4844,100,1,52,47
12668,5380,100,1,56,46
12359.789,4485.8047,100,1,43,46
12950,1922,100,1,892,45
3080,10802,100,1,242,45
10273.695,2208.7478,100,1,54,45
5474,12704,100,1,432,45
8265.508,8926.129,100,1,13,44
13434,2542,100,1,537,42
12778.707,6257.3066,100,1,70,42
7238,7012,100,1,138,42
2860,11246,100,1,321,42
4476.47,12678.254,100,1,12,42
7600,7552,100,1,45,41
5892,12712,100,1,79,41
2164.0344,8259.794,100,1,156,40
1648,12938,100,1,123,40
5861.326,2106.5525,100,1,24,40
9773.922,2407.953,100,1,27,40
4122.2363,5791.3086,100,1,40,40
9968,9708,100,1,57,39
6014,2530,100,1,19,39
8912,6148,100,1,17,39
7457.25,2243.3293,100,1,48,38
13000,3388,100,1,23,38
13376,1614,100,1,33,38
2210.1055,10103.967,100,1,48,38
3723.69,5852.7104,100,1,25,37
6819.576,5557.8086,100,1,75,37
2048,8702,100,1,12,36
13712,5696,100,1,11,35
3058,6644,100,1,11,33
6462,6562,100,1,42,32
6988,14092,100,1,16,32
10790,10508,100,1,18,31
2886,10238,100,1,16,31
4770,13186,100,1,12,30
10305.515,11708.8,100,1,14,30
14088,6892,100,1,49,29
7062,13576,100,1,12,29
1190,12116,100,1,81,27
2340,13368,100,1,73,23
4762.1436,3403.374,100,1,12,23
7774,840,100,1,15,22
13268,10280,100,1,64,21
1342,8914,100,1,16,17
2223.8945,5058.0166,100,1,12,16
6182.7383,5635.871,100,1,12,16
2421.1614,11643.722,100,1,16,14
